F,d,mse,psnr,compression_ratio
8,2,6667.8075,9.890973076385395,0.046875
8,5,1357.905,16.8021097341162,0.234375
8,8,219.395,24.718536350638267,0.5625
8,14,1.4775,46.43552871314618,0.984375
16,4,7381.525390625,9.449342429097795,0.0390625
16,10,1671.6826171875,15.899265343487032,0.21484375
16,20,57.447265625,30.538109989007932,0.7421875
16,30,0.1328125,56.898414091375045,0.99609375
32,8,6723.24609375,9.85501352662183,0.03515625
32,20,1492.6767578125,16.39114590314545,0.205078125
32,40,49.8916015625,31.150529154857104,0.73046875
32,60,0.1328125,56.898414091375045,0.994140625
