F,d,mse,psnr,compression_ratio
8,2,54.782453125,30.744388850712333,0.046875
8,5,8.06548986037234,39.06449611313302,0.234375
8,8,1.841746675531915,45.47850466269018,0.5625
8,14,0.007909574468085106,69.14927241609635,0.984375
16,4,52.635901097074466,30.917982986554854,0.0390625
16,10,7.597799700797872,39.32392520712757,0.21484375
16,20,0.6922869015957447,49.72794246241169,0.7421875
16,30,0.0008577127659574468,78.79738486824284,0.99609375
32,8,51.2155148434819,31.036788180516986,0.03515625
32,20,7.394243710320865,39.44186600280908,0.205078125
32,40,0.7098138163821208,49.61935912319965,0.73046875
32,60,0.0010107455387783116,78.08438527743957,0.994140625
